,0,1,2
ENSG00000102977,ACD,ACD,Acd
ENSG00000119640,ACYP1,ACYP1,Acyp1
ENSG00000154734,ADAMTS1,ADAMTS1,Adamts1
ENSG00000088448,ANKRD10,ANKRD10,Ankrd10
ENSG00000169188,APEX2,APEX2,Apex2
ENSG00000134884,ARGLU1,ARGLU1,Arglu1
ENSG00000138376,BARD1,BARD1,Bard1
ENSG00000166164,BRD7,BRD7,Brd7
ENSG00000131375,CAPN7,CAPN7,Capn7
ENSG00000106144,CASP2,CASP2,Casp2
ENSG00000118412,CASP8AP2,CASP8AP2,Casp8ap2
ENSG00000105173,CCNE1,CCNE1,Ccne1
ENSG00000175305,CCNE2,CCNE2,Ccne2
ENSG00000094804,CDC6,CDC6,Cdc6
ENSG00000164045,CDC25A,CDC25A,Cdc25a
ENSG00000144354,CDCA7,CDCA7,Cdca7
ENSG00000164649,CDCA7L,CDCA7L,Cdca7l
ENSG00000166037,CEP57,CEP57,Cep57
ENSG00000167670,CHAF1A,CHAF1A,Chaf1a
ENSG00000159259,CHAF1B,CHAF1B,Chaf1b
ENSG00000092853,CLSPN,CLSPN,Clspn
ENSG00000137504,CREBZF,CREBZF,Crebzf
ENSG00000117984,CTSD,CTSD,Ctsd
ENSG00000083520,DIS3,DIS3,Dis3
ENSG00000102580,DNAJC3,DNAJC3,Dnajc3
ENSG00000159147,DONSON,DONSON,Donson
ENSG00000136982,DSCC1,DSCC1,Dscc1
ENSG00000143476,DTL,DTL,Dtl
ENSG00000101412,E2F1,E2F1,E2f1
ENSG00000144895,EIF2A,EIF2A,Eif2a
ENSG00000139684,ESD,ESD,Esd
ENSG00000187866,FAM122A,FAM122A,Fam122a
ENSG00000160688,FLAD1,FLAD1,Flad1
ENSG00000131153,GINS2,GINS2,Gins2
ENSG00000181938,GINS3,GINS3,Gins3
ENSG00000112312,GMNN,GMNN,Gmnn
ENSG00000119969,HELLS,HELLS,Hells
ENSG00000182742,HOXB4,HOXB4,Hoxb4
ENSG00000174775,HRAS,HRAS,Hras
ENSG00000025156,HSF2,HSF2,Hsf2
ENSG00000171105,INSR,INSR,Insr
ENSG00000164941,INTS8,INTS8,Ints8
ENSG00000116679,IVNS1ABP,IVNS1ABP,Ivns1abp
ENSG00000257093,KIAA1147,DENND11,Dennd11
ENSG00000113441,LNPEP,LNPEP,Lnpep
ENSG00000108848,LUC7L3,LUC7L3,Luc7l3
ENSG00000073111,MCM2,MCM2,Mcm2
ENSG00000104738,MCM4,MCM4,Mcm4
ENSG00000100297,MCM5,MCM5,Mcm5
ENSG00000076003,MCM6,MCM6,Mcm6
ENSG00000111554,MDM1,MDM1,Mdm1
ENSG00000108590,MED31,MED31,Med31
ENSG00000037757,MRI1,MRI1,Mri1
ENSG00000095002,MSH2,MSH2,Msh2
ENSG00000132780,NASP,NASP,Nasp
ENSG00000114857,NKTR,NKTR,Nktr
ENSG00000149308,NPAT,NPAT,Npat
ENSG00000120253,NUP43,NUP43,Nup43
ENSG00000085840,ORC1,ORC1,Orc1
ENSG00000079156,OSBPL6,OSBPL6,Osbpl6
ENSG00000125779,PANK2,PANK2,Pank2
ENSG00000169851,PCDH7,PCDH7,Pcdh7
ENSG00000132646,PCNA,PCNA,Pcna
ENSG00000182378,PLCXD1,PLCXD1,Plcxd1
ENSG00000064933,PMS1,PMS1,Pms1
ENSG00000100941,PNN,PNN,Pnn
ENSG00000077514,POLD3,POLD3,Pold3
ENSG00000112210,RAB23,RAB23,Rab23
ENSG00000160957,RECQL4,RECQL4,Recql4
ENSG00000175643,RMI2,RMI2,Rmi2
ENSG00000185946,RNPC3,RNPC3,Rnpc3
ENSG00000008952,SEC62,SEC62,Sec62
ENSG00000145604,SKP2,SKP2,Skp2
ENSG00000163950,SLBP,SLBP,Slbp
ENSG00000114120,SLC25A36,SLC25A36,Slc25a36
ENSG00000115875,SRSF7,SRSF7,Srsf7
ENSG00000114850,SSR3,SSR3,Ssr3
ENSG00000270647,TAF15,TAF15,Taf15
ENSG00000075131,TIPIN,TIPIN,Tipin
ENSG00000163781,TOPBP1,TOPBP1,Topbp1
ENSG00000164548,TRA2A,TRA2A,Tra2a
ENSG00000163728,TTC14,TTC14,Ttc14
ENSG00000012963,UBR7,UBR7,Ubr7
ENSG00000276043,UHRF1,UHRF1,Uhrf1
ENSG00000076248,UNG,UNG,Ung
ENSG00000145390,USP53,USP53,Usp53
ENSG00000163159,VPS72,VPS72,Vps72
ENSG00000092470,WDR76,WDR76,Wdr76
ENSG00000165724,ZMYND19,ZMYND19,Zmynd19
ENSG00000132485,ZRANB2,ZRANB2,Zranb2
