,0,1,2
ENSG00000135541,AHI1,AHI1,Ahi1
ENSG00000135334,AKIRIN2,AKIRIN2,Akirin2
ENSG00000154945,ANKRD40,ANKRD40,Ankrd40
ENSG00000011426,ANLN,ANLN,Anln
ENSG00000136938,ANP32B,ANP32B,Anp32b
ENSG00000143401,ANP32E,ANP32E,Anp32e
ENSG00000213390,ARHGAP19,ARHGAP19,Arhgap19
ENSG00000170540,ARL6IP1,ARL6IP1,Arl6ip1
ENSG00000171456,ASXL1,ASXL1,Asxl1
ENSG00000171681,ATF7IP,ATF7IP,Atf7ip
ENSG00000087586,AURKA,AURKA,Aurka
ENSG00000110330,BIRC2,BIRC2,Birc2
ENSG00000089685,BIRC5,BIRC5,Birc5
ENSG00000169679,BUB1,BUB1,Bub1
ENSG00000182985,CADM1,CADM1,Cadm1
ENSG00000115355,CCDC88A,CCDC88A,Ccdc88a
ENSG00000137500,CCDC90B,CCDC90B,Ccdc90b
ENSG00000145386,CCNA2,CCNA2,Ccna2
ENSG00000157456,CCNB2,CCNB2,Ccnb2
ENSG00000117399,CDC20,CDC20,Cdc20
ENSG00000101224,CDC25B,CDC25B,Cdc25b
ENSG00000004897,CDC27,CDC27,Cdc27
ENSG00000128283,CDC42EP1,CDC42EP1,Cdc42ep1
ENSG00000111665,CDCA3,CDCA3,Cdca3
ENSG00000115163,CENPA,CENPA,Cenpa
ENSG00000138778,CENPE,CENPE,Cenpe
ENSG00000117724,CENPF,CENPF,Cenpf
ENSG00000138180,CEP55,CEP55,Cep55
ENSG00000003402,CFLAR,CFLAR,Cflar
ENSG00000122966,CIT,CIT,Cit
ENSG00000136108,CKAP2,CKAP2,Ckap2
ENSG00000175216,CKAP5,CKAP5,Ckap5
ENSG00000173207,CKS1B,CKS1B,Cks1b
ENSG00000123975,CKS2,CKS2,Cks2
ENSG00000182973,CNOT10,CNOT10,Cnot10
ENSG00000170037,CNTROB,CNTROB,Cntrob
ENSG00000102974,CTCF,CTCF,Ctcf
ENSG00000044115,CTNNA1,CTNNA1,Ctnna1
ENSG00000198561,CTNND1,CTNND1,Ctnnd1
