,0,1,2
ENSG00000011426,ANLN,ANLN,Anln
ENSG00000065000,AP3D1,AP3D1,Ap3d1
ENSG00000213390,ARHGAP19,ARHGAP19,Arhgap19
ENSG00000122644,ARL4A,ARL4A,Arl4a
ENSG00000104442,ARMC1,ARMC1,Armc1
ENSG00000171456,ASXL1,ASXL1,Asxl1
ENSG00000119787,ATL2,ATL2,Atl2
ENSG00000178999,AURKB,AURKB,Aurkb
ENSG00000029363,BCLAF1,BCLAF1,Bclaf1
ENSG00000136122,BORA,BORA,Bora
ENSG00000112983,BRD8,BRD8,Brd8
ENSG00000154473,BUB3,BUB3,Bub3
ENSG00000164305,CASP3,CASP3,Casp3
ENSG00000094916,CBX5,CBX5,Cbx5
ENSG00000159884,CCDC107,CCDC107,Ccdc107
ENSG00000145386,CCNA2,CCNA2,Ccna2
ENSG00000162063,CCNF,CCNF,Ccnf
ENSG00000130177,CDC16,CDC16,Cdc16
ENSG00000158402,CDC25C,CDC25C,Cdc25c
ENSG00000184661,CDCA2,CDCA2,Cdca2
ENSG00000111665,CDCA3,CDCA3,Cdca3
ENSG00000134690,CDCA8,CDCA8,Cdca8
ENSG00000170312,CDK1,CDK1,Cdk1
ENSG00000111276,CDKN1B,CDKN1B,Cdkn1b
ENSG00000123080,CDKN2C,CDKN2C,Cdkn2c
ENSG00000140743,CDR2,CDR2,Cdr2
ENSG00000120334,CENPL,CENPL,Cenpl
ENSG00000135837,CEP350,CEP350,Cep350
ENSG00000197766,CFD,CFD,Cfd
ENSG00000003402,CFLAR,CFLAR,Cflar
ENSG00000183765,CHEK2,CHEK2,Chek2
ENSG00000136108,CKAP2,CKAP2,Ckap2
ENSG00000169607,CKAP2L,CKAP2L,Ckap2l
ENSG00000105443,CYTH2,CYTH2,Cyth2
ENSG00000136485,DCAF7,DCAF7,Dcaf7
ENSG00000067596,DHX8,DHX8,Dhx8
ENSG00000132002,DNAJB1,DNAJB1,Dnajb1
ENSG00000187097,ENTPD5,ENTPD5,Entpd5
ENSG00000135476,ESPL1,ESPL1,Espl1
ENSG00000168040,FADD,FADD,Fadd
ENSG00000101447,FAM83D,FAM83D,Fam83d
ENSG00000198690,FAN1,FAN1,Fan1
ENSG00000144554,FANCD2,FANCD2,Fancd2
ENSG00000092140,G2E3,G2E3,G2e3
ENSG00000104064,GABPB1,GABPB1,Gabpb1
ENSG00000180447,GAS1,GAS1,Gas1
ENSG00000139354,GAS2L3,GAS2L3,Gas2l3
ENSG00000188486,H2AFX,H2AX,H2ax
ENSG00000131351,HAUS8,HAUS8,Haus8
ENSG00000111911,HINT3,HINT3,Hint3
ENSG00000064393,HIPK2,HIPK2,Hipk2
ENSG00000123485,HJURP,HJURP,Hjurp
ENSG00000164104,HMGB2,HMGB2,Hmgb2
ENSG00000127483,HP1BP3,HP1BP3,Hp1bp3
ENSG00000142166,IFNAR1,IFNAR1,Ifnar1
ENSG00000183856,IQGAP3,IQGAP3,Iqgap3
ENSG00000186625,KATNA1,KATNA1,Katna1
ENSG00000104756,KCTD9,KCTD9,Kctd9
ENSG00000066135,KDM4A,KDM4A,Kdm4a
ENSG00000170759,KIF5B,KIF5B,Kif5b
ENSG00000138160,KIF11,KIF11,Kif11
ENSG00000138182,KIF20B,KIF20B,Kif20b
ENSG00000079616,KIF22,KIF22,Kif22
ENSG00000137807,KIF23,KIF23,Kif23
ENSG00000237649,KIFC1,KIFC1,Kifc1
ENSG00000067082,KLF6,KLF6,Klf6
ENSG00000182481,KPNA2,KPNA2,Kpna2
ENSG00000143815,LBR,LBR,Lbr
ENSG00000271601,LIX1L,LIX1L,Lix1l
ENSG00000113368,LMNB1,LMNB1,Lmnb1
ENSG00000164109,MAD2L1,MAD2L1,Mad2l1
ENSG00000165304,MELK,MELK,Melk
ENSG00000168282,MGAT2,MGAT2,Mgat2
ENSG00000101871,MID1,MID1,Mid1
